video_id,keyframe_id,full_path,caption
L01_V001,keyframe_12006.webp,L1/L01_V001/keyframe_12006.webp,"A man with short dark hair, wearing a light blue patterned shirt and a dark tie with white patterns, stands in front of a cityscape backdrop during sunset, holding a tablet and appearing to present news."
L01_V001,keyframe_13488.webp,L1/L01_V001/keyframe_13488.webp,"A person wearing white gloves holds a transparent plastic container with a grid-like interior, containing a yellowish, textured substance, likely food or a sample, in an outdoor setting with blurred greenery in the background."
L01_V001,keyframe_14070.webp,L1/L01_V001/keyframe_14070.webp,A man wearing a blue shirt and a face mask is handling a large cardboard box near a forklift in what appears to be a warehouse or loading area.
L01_V001,keyframe_15414.webp,L1/L01_V001/keyframe_15414.webp,"A man wearing a bright yellow safety vest and a yellow hard hat walks along a paved sidewalk, carrying a yellow helmet in his arms, while another worker in similar attire walks beside him. The scene is set outdoors in an urban area with trees and storefronts visible in the background."
L01_V001,keyframe_20880.webp,L1/L01_V001/keyframe_20880.webp,"A young boy in a light blue school uniform shirt and dark tie speaks to the camera outdoors, with a school building and dirt ground visible in the background."
L01_V001,keyframe_22326.webp,L1/L01_V001/keyframe_22326.webp,"A man with gray hair and a beard, wearing black-rimmed glasses and a dark jacket, is speaking in what appears to be an interview setting. Behind him, a banner reads ""CHAMPION DU MONDE DE LA RACLETTE"" and several people are seated at tables in the background, suggesting a communal or event space."
L01_V001,keyframe_23226.webp,L1/L01_V001/keyframe_23226.webp,"A woman with short blonde hair, wearing a white shirt, leans forward at a table, holding a fork near her mouth as if tasting food. She is seated at a long table with plates of food, cups, and papers in front of her."
L01_V001,keyframe_24066.webp,L1/L01_V001/keyframe_24066.webp,"A bald man wearing a green Adidas tracksuit jacket with yellow stripes is speaking, with a microphone clipped to his collar, in what appears to be a television studio setting."
L01_V001,keyframe_2490.webp,L1/L01_V001/keyframe_2490.webp,"A flooded landscape with muddy brown water submerging trees and debris, showing the aftermath of a natural disaster, captured in a news broadcast with TV9 HD logo and timestamp."
L01_V001,keyframe_26124.webp,L1/L01_V001/keyframe_26124.webp,"A street scene featuring a group of women protesting, many wearing purple shirts and holding red cards aloft, with one woman in the foreground holding a sign that reads ""SO NUEVA!!"" and another wearing a shirt with the text ""Movimiento por Dignidad de las..."" and a question mark symbol."
